"bambara","french"
"O ye diyagoya de ye, paseke n'i bɛ jamana kɔnɔ, tigi de bɛ..., marabaga de bɛ jamana na.","C'est forcé, parce que quand on est dans un pays il y a un maître, il y a dans ce pays un gouvernement."
"Ni marabaga bɛ jamana na, fɛn dɔw bɛ yen, o bɛ ye filimuw de la.","Quad il y a un gouvernement, tout ce qui se passe est filmé."
"Ka hadamaden minɛ ka tunun n'a ye, ka tila ka segin n'a ye, i n'a fɔ fɛn ma kɛ, « bon », tiɲɛ yɛrɛyɛrɛ la, n'o kɛra jamana min kɔnɔ, a ka kan ka mɔgɔ siran.","Enlever quelqu'un et le faire disparaître, et pour finir le ramener comme si de rien n'était, bon, en vérité, ceux qui habitent dans un pays comme ça, ça peut les effrayer."
"O la, jamana marabagaw, olu ka kan k'u jɔ u jɔyɔrɔ la walasa nin ko suguya kana kɛ.","Donc, le gouvernement du pays doit prendre ses responsabilités et empêcher que de telles choses se reproduisent."
"Kunnafonidilaw yɛrɛ bi, u ka kan ka sira jumɛn ta, u ka kan ka taabolo jumɛn de ta, min b'a to u bɛ se ka kisi nin sugu ninnu ma ?","Et les journalistes aujourd'hui, quel chemin doivent-ils suivre, quelles mesures doivent-ils prendre qui leur permette de se protéger de ce genre de chose? "
"« bon », taabolo min kunnafonidila ka kan ka ta, o taabolo fɔlɔfɔlɔ ye, i k'i ka baara kɛ ni laadiriya ye, i k'a kɛ ni tilennenya ye.","Bon, les mesures que doivent prendre les journalistes, la toute première de ces mesures et de faire son travail avec honnêteté et intégrité."
"I k'a kɛ ni « professionnalisme » ye, « ça c'est extrèmement important ».","Il faut le faire avec professionnalisme, ça c'est très important."
"« bon c'est vrai que » kunnafonidi hukumu jamana kɔnɔ, kɛlɛ bɛ jamana min kɔnɔ, mankan bɛ jamana min kɔnɔ, ani yɔrɔ min stabilisilen don, kelen tɛ.","Bon c'est vrai que le cadre du journalisme dans le pays, un pays dans lequel il y a la guerre, un pays dans lequel il y a des dissensions, ce n'est pas la même chose que là où la situation est stable."
"O « precautions » minnu ka kan ka ta, ne hakili la, o kalan bɛ kɛ mɔgɔw kunna kunnafonidi kalan degeyɔrɔw la.","Les précautions qu'il faut prendre, il me semble, on les enseigne à l'école de journalisme."
"Mais sisan, an bɛ min ɲini kunnafonidilaw fɛ, u ka u ka baaraw kɛ laadiriya kɔnɔ, k'a kɛ ni tilennenya ye.","Mais à présent, ce que nous demandons aux journalistes, c'est de faire leur travail avec honnêteté, de le faire avec intégrité."
"Mais u k'u janto u yɛrɛ la.","Mais qu'ils se protègent."
"Aw yɛrɛ fɛ, Mali kunnafonidilaw ka soba yɛrɛ kɔnɔ « maison de la presi », aw kɛlen don ka fɛɛrɛ dɔw tigɛ, ka dabali dɔw sigi sen kan min b'a to kunnafonidilaw bɛ se k'u ka baara kɛ sariya hukumu kɔnɔ, ani u ka yɛrɛya hukumu kɔnɔ ?","Selon vous, à la Maison de la Presse, quels moyens avez-vous mis en oeuvre, quelles solutions avez-vous mis sur pieds afin de permettre aux journalistes de faire leur travail dans un cadre légal, et dans un cadre qui protège leur intégrité?"
"« bon » fɛn kɔni nin an b'o kɛ, o ye tiɲɛ la, an ti sɛgɛn fyewu, k'a ɲini jamana ɲɛmɔgɔw fɛ u k'u jɔ u jɔyɔrɔ la walasa ka jamanaden bɛɛ « sécuriser », walasa ka kunnafonidilaw « sécuriser ».","Bon, tout ceci on le fait, c'est vrai, et on demande inlassablement aux dirigeants du pays d'assumer leurs responsabilités afin de sécuriser tous les citoyens, afin de sécuriser les journalistes."
"An bɛ ɲini kunnafonidilaw fana fɛ, ni i ka baara kɛra baara, baara min n'a cogoya ka gɛlɛn, waati gɛlɛn kɔnɔna na, i gɛlɛya baara ka kɛ tilennenya ni laadiriya kɔnɔ, « et puis », i gɛlɛya fana i k'i janto i yɛrɛ la baara in exercisi la.","Et nous demandons aussi aux journalistes, lorsque leur travail devient travail difficile à faire dans cette période difficile, de s'efforcer de faire leur travail avec intégrité et honnêteté, et puis de s'efforcer aussi de se protéger eux-mêmes dans l'exercice de leur travail."
"« bon » n bɛ se ka min fɔ, ni y'a ye mɔgɔ minnu bɛ duguba kɔnɔna na n'olu enlevera mɔgɔw fɛ a gurupu suguya ma dɔn, u bɛ tila k'u bila.","Bon, ce que je peux dire, ce qu'on constate c'est que ceux qui sont dans les grandes villes et sont enlevés par des groupes qu'on ne connaît pas, ils finissent par les relâcher."
"Mais dɔw bɛ, olu bɛ zoniw kɔnɔ, zoniw minnu kɔnɔna na ka gɛlɛn, olu enlevelen don « par des groupes armes, par des djihadistes et par d'autres »","Mais il y en a qui sont dans des zones dans lesquelles la situation est compliquée, ils sont enlevés par des groupes armés, par des djihadistes et par d'autres."
"A bɛ an hakili jigin Musa Bana Diko la.","Nous nous souvenons de Moussa Mbana Dicko."
"A bɛ an hakili jigin Ɲali Buli la.","Nous nous souvenons de Nialibouly."
"A bɛ an hakili jigin Sori Kone la, Segujamana kɔnɔna na.","Nous nous souvenons de Sory Koné, dans la région de Ségou."
"« donc » nin mɔgɔ ninnu si tɛ bi min denbaya la.","Donc, aucune de ces personnes n'est aujourd'hui parmi les siens."
"Nin mɔgɔ ninnu si tɛ bi min minɛlen tɛ ka taa n'a ye yɔrɔ, kasɔrɔ a sago t'a yɛrɛ la.","Aucune de ces personnes n'est là aujourd'hui, ayant été enlevée et emmenée contre son gré."
"Wa ninnu bɛɛ lajɛlen ye kunnafonidi baarakɛlaw ye.","Et tous étaient des professionnels du journalisme."
"Banjugu Dante, i ni ce i ka nin jaabi ninnu bɛɛ lajɛlen kosɔn.","Bandiougou Danté, merci pour toutes ces réponses."
"« merci »","Merci"
"Sánunɛgɛnin","Petit métal d'or"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Mɔlɔdo fàama, fàama kùn bɛ́ Mɔlɔdo","Le chef de Molodo, il y avait un chef à Molodo,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"N'godila Jingi, Jingi kùn bɛ́ N'godila","Jingi de Ngodila, il y avait un Jingi à Ngodila,"
"à y'à tile kɛ, ǹk'ò mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Kumakɔrɔ Sokɛ, Sokɛ kùn bɛ́ Kumakɔrɔ","Sokè de Tumakɔrɔ, il y avait un Sokè à Tumakɔrɔ,"
"ò y'à tile kɛ, ǹk'ò mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Kolodugu Mɛlɛ, Mɛlɛ kùn bɛ́ Kolodugu","Mèlè de Kolodougou, il y avait un Mèle à Kolodougou,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Nɔnɔkɛnɛ Kundu, Kundu kùn bɛ́ Nɔnɔkɛnɛ","Koundour de Nonokènè, il y avait un Koundour à Nonokènè,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Wesedugu Yali, Yali kùn bɛ́ Wesedugu","Yali de Ouéssébougou, il y avait un Yali à Ouéssébougou,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Seribugu Maniba, Maniba kùn bɛ́ Seribugu","Maniba de Séribougou, il y avait un Sériba à Ouéssébougou,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Siraninkɔrɔ fàama, fàama kùn bɛ́ Siranikɔrɔ","Roi de Siranikoro, il y avait un roi à Siranikoro,"
"à y'à tile kɛ, ǹka à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Mɔlɔdo fàama, fàama kùn bɛ́ Mɔlɔdo","Le chef de Molodo, il y avait un chef à Molodo"
"à y'à tile kɛ, ǹk'à mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"N'godila Jingi, Jingi kùn bɛ́ N'godila","Jingi de Ngodila, il y avait un Jingi à Ngodila,"
"à y'à tile kɛ, ǹk'ò mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Kumakɔrɔ Sokɛ, Sokɛ kùn bɛ́ Kumakɔrɔ","Sokè de Tumakɔrɔ, il y avait un Sokè à Tumakɔrɔ,"
"ò y'à tile kɛ, ǹk'ò mɛ sé kà díɲɛ lában!","il a fait son temps, mais il n'a pas pu régner éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"Sánunɛgɛnin yó, wárinɛgɛnin yó!","Ô petit métal d'or! Ô petit métal d'argent!"
"Màa y'í tìle kɛ́, màa kélen tɛ díɲɛ lában!","Un homme fait son temps, un seul homme ne règne pas éternellement !"
"An bɛ a fɔlɔ ni Sudan du Sud ye.","Commençons avec le Soudan du Sud."
"""Transparency international"" ko ale de bɛ Farafinna bɛɛ kan halisa yuruguyurugu juguyali ko la.","Transparency International place ce pays devant tous les autres pays africains encore aujourd'hui en terme d'aggravation de la corruption."
"Jamana in bɛ jɔyɔrɔ 13nan de la jatew la ɲinan.","Ce pays est à la 13e place des estimations de cette année."
"A kɛrɛfɛ Guinee Equatoriale bɛ na jɔyɔrɔ 17nan na.","La Guinée équatoriale la suit de près à la 17e place"
"Jigin-n-na kɛlen bɛ yen marabagaw yɛrɛ de la yuruguyurugu sankɔrɔtali ko la.","Des reproches sont faits au gouvernement local même et son rôle dans l'élévation de la corruption."
"Farafinna tilebinyanfan jamanaw ka fanfɛ Senegali jiginna ni kuru fila ye.","Parmi les pays d'Afrique de l'Ouest, le Sénégal descend de deux places."
"Jamana in bɔra jɔyɔrɔ 45nan na ka na a yɛrɛ sɔrɔ jɔyɔrɔ 43nan na","Le pays quitte la 45e place pour se retrouver au 43e rang."
"Yen yuruguyurugu juguyali fana bɛ ka da marakɛcogoya de kunna.","L'aggravation de la corruption y est aussi à attribuer à la mauvaise gouvernance."
"Nin waati in yɛrɛ la, koronawirisibana kɛlɛli wari sefa miliyari ba kɛmɛ 7 ni kɔ, o de taafan bɛ ka ɲini jamana in kɔnɔ.","Alors qu'au même moment, les 700.000 milliards de francs CFA pour la lutte contre le coronavirus, on cherche encore dans le pays où ils sont partis."
"Nizeriya fana bɔra a nɔ na ni o kuru kelen ye, ale bɛ jɔyɔrɔ 24nan de la bi.","Le Nigeria est également déplacé d'un rang et se trouve aujourd'hui au 24e rang."
"Mali ta b'o cogo kelen na, o fana bɔra jɔyɔrɔ 29nan na ka na jɔyɔrɔ 28nan na.","Même chose pour le Mali, qui passe de la 29e à la 28e place."
"Burkina bɛ a jɔyɔrɔ 42nan na","Le Burkina reste à sa 42e place."
"Nka ""Transparency international"" ko yen marabagaw ka kan ka jija ko bawo ko yuruguyurugu ni basigibaliya tɛ taa ni ɲɔgɔn ye.","Mais Transparency International dit que le gouvernement de ce pays doit faire des efforts car, disent-ils, corruption et sécurité ne font pas bon ménage."
"Dɔw farali Farafinna ka yuruguyurugu kan jatebɔ baarada in bɛ ka o ko da jamanaw maracogo ani kiiriw tigɛbaliya de kun na.","Cette aggravation de la corruption en Afrique, l'organisation d'observation les impute à la mauvaise gouvernance et à l'impunité devant la justice."
"Maria, Araba nana i fo i ka waleɲuman na !","Maria, Araba est venue te remercier pour ta bonne action !"
"Sirajɛ, Araba ma kɛ fitiriwale ye.","Siraje, Araba n’a pas été ingrate."
"Sigi bɛ an fɛ !","Asseyez-vous ! "
"K'a k'i sigi !","Qu’elle s’assoie !"
"Aw ma a kunsigijugu bɔ a kun na fɔlɔ wa ?","Vous n’avez pas encore rasé ses «mauvais cheveux » ?"
"O ma kɛ ban !","Ce n’est pas encore fait !"
"A di ne ma, n k'a bamu !","Donne-la-moi, je vais la mettre sur mon dos !"
"A filɛ, a bɛ yɛlɛmisɛn kɛ !","Regarde, elle fait un petit sourire !"
"I ko ka di a ye !","Tu lui plais !"
"Den farikolo ye kabakomafɛn ye !","Le corps de l’enfant est quelque chose de merveilleux !"
"Kabako don dɛ !","C’est vraiment extraordinaire !"
"A filɛ, Araba bolonkɔni ka misɛn, nka don dɔ, a na ɲɔ susu i ye !","Regarde, les doigts d’Araba sont menus, mais un jour elle pilera le mil pour toi."
"Ala k'o kɛ !","Que Dieu le fasse !"
"Ne ko, den bɛ ŋunuma a kalo joli ?","Dis-moi, à combien de mois l’enfant marche-t-il à quatre pattes ?"
"Den bɛ ŋunuma a kalo seegin, wala kɔnɔntɔn.","L’enfant marche à quatre pattes à son 8° ou 9° mois."
"Sanni kɔladen ka kɛ senfɛden ye, a bɛ sɛgɛn dɛ !","Avant que le bébé que l’on porte sur le dos ne devienne un enfant qui marche, il se fatigue vraiment !"
"Kojugu, janko wulikajɔ waati la.","Beaucoup, surtout quand il commence à se lever et à se tenir debout."
"Ɔwɔ, barika tɛ a senkala n'a kunbere la fɔlɔ !","Oui, au début, ses jambes et ses genoux n’ont pas de forces !"
"Sanni den ka taama, ne b'a fɔ i ye, baara don !","Avant que l’enfant n’arrive à marcher, je te le dis, c’est du travail !"
"Araba, i ka fin mɔnimɔni !","Araba, tu es très très noire !"
"Araba, a fɔ a ye k'i bɔra ale de fɛ !","Araba, dis-lui que c’est à elle que tu ressembles !"
"I jɔ, n k'a nun cɛ !","Attends, je la mouche !"
"Araba, i bɛ kasi mun na ?","Araba, pourquoi pleures-tu ?"
"I da b'i dimi wa ?","Ta bouche te fait-elle mal ?"
"Ayi, a da t'a dimi.","Non, sa bouche ne lui fait pas mal."
"I kɔnɔ wala i tulo b'i dimi wa ?","As-tu mal au ventre ou aux oreilles ?"
"U si t'a dimi.","Rien de cela ne lui fait mal."
"O tuma, a kasikun ye mun nɔfɛko ye ?","Alors, qu’est-ce qu’elle cherche en pleurant ?"
"A kasikun ye sin nɔfɛko ye.","Elle pleure pour avoir le sein."
"A filɛ, sin di a ma !","Prends, donne-lui le sein !"
"A filɛ, a bɛ girindi !","Regarde, elle fait son rot!"
"A nugu ka bon !","Elle est goulue !"
"Sirajɛ, i tɛ ji dɔɔnin di a ma, a kana fɔɔnɔ !","Siraje, tu ne lui donnes pas un peu d’eau, qu’elle ne vomisse pas !"
"Ji dɔ di yan !","Donne-moi un peu d’eau !"
"Sisan, a bɛ yegentu.","Maintenant, elle a le hoquet."
"O fana ka jugu denyɛrɛnin ma !","Cela aussi est mauvais pour le bébé !"
"Sirajɛ, i ye kolonkisɛ siri Araba cɛ la, o ye fura ye wa ?","Siraje, tu as attaché un cauris à la taille d’Araba, est-ce un remède ?"
"Ayi, fura tɛ, masirifɛn don !","Non, ce n’est pas un remède, c’est une parure !"
"Tafo min sirilen den kan na dun ?","Et la ficelle à nœuds (le gris-gris) attachée à son cou ?"
"Ne nɔ tɛ o ye, cɛkɔrɔba nɔ don !","Je n’y suis pour rien, c’est l’œuvre du vieux !"
"A bɛ mun na ?","A quoi ça sert!"
"A bɛ den tanga bana ma !","Elle protège l’enfant de la maladie !"
"Ayiwa, Maria, surɔfana labɛntuma sera, Araba ko, k'a bɛ taa so !","Eh bien, Maria, c’est l’heure de préparer le repas du soir, Araba dit qu’elle va à la maison !"
"K'o bɛ se ka kɛ !","Cela peut se faire !"
"Ko Ala ka den lakana !","Que Dieu protège l’enfant !"
"Amiina !","Amen !"
"Ka sin diya a kan rɔ !","Que le sein soit agréable à sa gorge !"
"Amiina !","Amen !"
"Míniyanba né m'à láwuli nìn mà. ","Grand python, je ne l'ai pas fait pour ça "
"Eyaye ","é-ya-yé"
"Sàbaminiyanba màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour "
"Sàbaminiyan!","Grand serpent python "
"Míniyanba hínɛ bɛ́ dèli lè lá. ","Grand python, la pitié est dans la prière"
"Sàbaminiyan màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour"
"Míniyanba ɲɛ́ji mín` tɔ̀nɔ ká fìn. ","Grand python, vois ces larmes de sombre regret !"
"Eyaye ","é-ya-yé"
"Sabaminiyanba làtigɛ ká kɔ̀rɔ jɔ̀n yé. ","Grand serpent python, la volonté divine est plus ancienne que la créature de Dieu "
"Sàbaminiyan!","Grand serpent python!"
"Míniyanba n'í táara táa lè lá,","Grand python, si tu pars pour le voyage ,"
"Sàbaminiyan ká dùwaw kɛ́ í fà̀lu yé. ","Grand serpent python, que les bénédictions soient faites à tes pères"
"Míniyanba n'í táara táa lè lá,","Grand python, si tu pars pour le voyage,"
"Sàbaminiyan ká dùwaw kɛ́ í bá́lu yé. ","Grand serpent python, que les bénédictions soient faites à tes mères"
"Míniyanba n'í táara táa lè lá, ","Grand python, si tu pars pour le voyage,"
"Sàbaminiyan ká dùwaw kɛ́ í kɔ̀rɔlu yé. ","Grand serpent python, que les bénédictions soient faites à tes aînés"
"Míniyanba wólo tɛ́ kònaya sà. ","Grand python, engendrer n'empêche pas de rester sans enfants,"
"Sabaminyan wólo jóona má kònaya sà. ","Grand serpent python, se hâter d'engendrer n'a pas empêché de rester sans enfants,"
"Míniyanba fúru má jàlonya sà. ","Grand python, le mariage n'empêche pas la débauche,"
"Sàbaminiyan fúru jóona má jàlonya sà. ","Grand serpent python, se hâter de se marier n'a pas empêché la débauche,"
"Míniyanba ní dén tɛ́ mɔ̀gɔ mín` fɛ̀, ","Grand python, celle qui n'a pas d'enfant,"
"Dénmusonin dénkunntan déntigi b'à tìle k'í lá.","La jeune fille sans enfant, c'est celle qui en a qui profite d'elle,"
"Míniyanba ní cɛ̀ tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de mari,"
"Dénmusonin cɛ̀kunntan cɛ̀tigi b'à tìle k'í lá. ","La jeune fille sans mari, c'est celle qui en a un qui profite d'elle,"
"Míniyanba ní bá tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de mère,"
"Dénmusonin bákunntan bátigi b'à tìle k'í lá. ","La jeune fille orpheline de mère, c'est celle qui en a une qui profite d'elle,"
"Míniyanba ní fà tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de père,"
"Dénmusonin fàkunntannu fàtigi b'à tìle k'í lá. ","Les jeunes filles orphelines de père, c'est celle qui en a un qui profite d'elles,"
"Míniyanba ní jìgi tɛ́ mɔ̀gɔ mín` ná,","Grand python, celle qui n'a personne sur qui compter,"
"Dénmusonin jìgikunntan jìgitigi b'à tìle k'í lá. ","La jeune fille sans soutien, c'est celle qui en a qui profite d'elle,"
"Míniyanba ní dén tɛ́ mɔ̀gɔ mín` fɛ̀","Grand python, celle qui n'a pas d'enfant,"
"Dénmusonin dénkunntannu déntigi b'à tìle k'í lá. ","Les jeunes filles sans enfant, c'est celle qui en a qui profite d'elles,"
"Míniyanba né m'à láwuli nìn mà,","Grand python, je ne l'ai pas fàit pour ça"
"Sàbaminiyan màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour"
"Míniyanba ɲɛ́ji mín` tɔ̀nɔ ká fìn. ","Grand python, vois ces larmes de sombre regret !"
"Eyaye","é-ya-yé"
"Sàbaminiyanba làtigɛ ká kɔ̀rɔ jɔ̀n yé. ","Grand serpent python, la volonté divine est plus ancienne que la créature de Dieu"
"Sàbaminiyan, míniyanba túnga má dànbe lɔ́n . ","Grand serpent python, grand python, l'étranger ne reconnait pas la dignité"
"Sàbaminiyan màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour"
"Sàbaminiyan.","Grand serpent python"
"Míniyanba ní cɛ̀ tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de mari,"
"Dénmusonin cɛ̀kuntan cɛ̀tigi b'à tìle k'í lá. ","La jeune fille sans mari, c'est celle qui en a un qui profite d'elle,"
"Míniyanba ní bá tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de mère,"
"Dénmusonin bákuntan bátigi b'à tìle k'í lá. ","La jeune fille orpheline de mère, c'est celle qui en a une qui profite d'elle,"
"Míniyanba ní fà tɛ́ mɔ̀gɔ mín` fɛ̀,","Grand python, celle qui n'a pas de père,"
"Dénmusonin fàkuntannu fàtigi b'à tìle k'í lá. ","Les jeunes filles orphelines de père, c'est celle qui en a un qui profite d'elles,"
"Míniyanba ní dén tɛ́ mɔ̀gɔ mín` fɛ̀","Grand python, celle qui n'a pas d'enfant,"
"Dénmusonin dénkuntannu déntigi b'à tìle k'í lá. ","Les jeunes filles sans enfant, c'est celle qui en a un qui profite d'elles,"
"Míniyan, miniyan sɛ̀gira. ","Python, le python est revenu"
"Sàbaminiyan màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour"
"Míniyanba túnga má dànbe lɔ́n. ","Grand python, l'étranger ne connait pas la dignité"
"Eyaye ","é-ya-yé"
"Sàbaminiyanba làtigɛ ká kɔ̀rɔ jɔ̀n yé. ","Grand serpent python, la volonté divine (volonté de Dieu) est plus ancienne que (précède) la créature de Dieu"
"Sàbaminiyan ","Grand serpent python"
"Míniyan, míniyan sɛ̀gira. ","Python, le python est revenu"
"Sàbaminiyan màkari bɛ́ dèli lè lá. ","Grand serpent python, la compassion est dans l'amour"
"Sàbaminiyan.","Grand serpent python"
"Cikɛla, i ni ce !","Cekura"
"Nba, i ni boli !","Paul"
"Ne bɛ taa Sirakɔrɔ.","Paul"
"A ka jan hali bi wa ?","Cekura"
"Ayi, yɔrɔjan tɛ bilen !","Paul"
"I bɛ mun baara la ?","Cekura"
"Ne bɛ tigɛwuli la.","Paul"
"O baara ka gɛlɛn wa ?","Cekura"
"Ayi, baara gɛlɛnman tɛ !","Cekura"
"I tɛ mobilɛti faga ?","Paul"
"Baasi tɛ.","Paul"
"I ka misidaba ka ɲi dɛ !","Cekura"
"Ɔwɔ, misidaba ɲuman don.","Paul"
"Nturabilenman fana ka kunba.","Cekura"
"Ɔwɔ, ntura belebele don.","Paul"
"I ka misi ka ca wa ?","Cekura"
"Ayi, misi caman tɛ ne fɛ.","Cekura"
"Mobilɛti kura b'i bolo dɛ !","Paul"
"Ɔwɔ, a kurakura don.","Paul"
"I tɔgɔ bɛ di ?","Cekura"
"Ne tɔgɔ ko : Cɛkura","Paul"
"Jamu duman ?","Cekura"
"Ɲare !","Paul"
"I Ɲare !","Cekura"
"Nba !","Paul"
"I ye marakaden ye dɛ !","Cekura"
"I y'a dɔn !","Paul"
"Minniji bɛ sɔrɔ wa ?","Cekura"
"Ɔwɔ, nka ji kalaman don.","Paul"
"A man kalan kosɛbɛ.","Paul"
"Dɔnkili duman b'i ka « arajo » la dɛ !","Cekura"
"Ɔwɔ, jumadon, arajo bɛ dɔnkili duman da.","Paul"
"Ɲɔtigɛ ka surun wa ?","Cekura"
"Ɔwɔ, a surunyana !","Paul"
"Ɲɔ bɛ tigɛ tuma jumɛn ?","Cekura"
"A bɛ tigɛ kalo kura.","Paul"
"Ni Ala sɔnna, n bɛ na ɲɔ tigɛ i fɛ.","Cekura"
"O bɛ diya n ye.","Cekura"
"I fɛ baro ka di !","Paul"
"Ayiwa, ne bɛ tɛmɛ.","Paul"
"Foli tun don !","Cekura"
"Foli diyara n ye !","Cekura"
"Hɔn tiga la !","Cekura"
"I bonya don !","Paul"
"I ni ce bonya na !","Paul"
"Ala ka sɛnɛ nɔgɔya !","Cekura"
"Amiina !","Cekura"
"K'i se n'i ɲuman ye !","Paul"
"Amiina !","Amen!"
"Paul, jama bɛ kɛ dugu kɔnɔ su in na.","Paul, on fait une fête au village ce soir."
"I ma o mɛn wa ?","N’as-tu pas entendu cela ?"
"Ayi, ne ma o mɛn !","Non, je ne l’ai pas entendu !"
"Mun jama don ?","Quelle fête ?"
"Denmisɛnw ka jama don !","C’est la fête des jeunes !"
"Sirajɛ y'o fɔ i ye wa ?","Est-ce que Siraje te l’a dit ?"
"Ayi, Sirajɛ ma o fɔ n ye.","Non, Siraje ne me l’a pas dit."
"O tuma, jɔn ko ten ?","Alors, qui dit ainsi ?"
"Karamɔgɔ y'a fɔ n ye, ko : Falajɛ denmisɛnw ko ten.","Le maître m’a dit que les jeunes de Falaje disent ainsi."
"O ye ko ɲuman ye.","C’est une bonne chose."
"I tɛ taa wa ?","Est-ce que tu n’y vas pas ?"
"Ayi, ne tɛ taa.","Non, je n’y vais pas."
