"french","bambara"
"impôt","nísɔngɔ"
"citronnelle","dítebin"
"alvéoles de miel","díwaa"
"bon goût","díya"
"bon goût","já"
"délice","díya"
"délice","já"
"de bon coeur, de bon gré","díya rɔ́"
"amour","díya"
"amour","já"
"réussite","díya"
"réussite","já"
"entrain","díya"
"entrain","já"
"rendre agréable","díya"
"rendre agréable","já"
"rendre sympathique","díya"
"rendre sympathique","já"
"il prend son temps","à b'á díya  à yɛ̀rɛ lá"
"ta visite m'a fait plaisir","í nàli díyara ń yé"
"ils se sont vus, ils se sont plu","ù yé  ɲɔ́gɔn yé, ù díyara ɲɔ́gɔn yé :"
"[Context: puis] ils se disputent  s'entendent","ù bɛ́ kɛ̀lɛ, ù bɛ́ díya"
"donner du goût","díya"
"donner du goût","já"
"le sel donne du goût à la nourriture","kɔ̀gɔ bɛ́  dúmuni díya"
"faciliter","díya"
"faciliter","já"
"bonne chasse !","kà kúngo díya !"
"ça n'a pas été facile","nìn má díya"
"jouer avec ardeur","díya"
"jouer avec ardeur","já"
"ils ont joué avec plus d'ardeur","ù yé  fɔ́li díya"
"lambin","díyabaatɔ"
"lambin","já.baa.tɔ"
"aimant la vie","díyabaatɔ"
"aimant la vie","já.baa.tɔ"
"jouir de","díyabɔ"
"profiter de","díyabɔ"
"contrainte","díyagoya"
"contrainte","díyakoya"
"contrainte","jákoya"
"contrainte","jágoya"
"[Context: de force] bon gré, mal gré","díyagoya lá"
"contraindre","díyagoya"
"contraindre","dí.ya.ko.ya"
"contraindre","já.ko.ya"
"de force","díyagoya"
"travail forcé","díyagoyabaara"
"corvée","díyagoyabaara"
"tyrannie","díyagoyafanga"
"colonisation","díyagoyafanga"
"mariage forcé","díyagoyafuru"
"plaisir","díyanye"
"plaisir","já.n.ye"
"de bon coeur, volontiers","ní díyanye yé"
"désir","díyanye"
"désir","já.n.ye"
"amour","díyanye"
"amour","já.n.ye"
"l'amour ne peut se cacher","díyanye tɛ́  dògo bɔ́"
"bien-aimé","díyanyebaa"
"bien-aimé","já.n.ye.baa"
"de bon coeur","díyanyebaatɔ"
"de bon coeur","já.n.ye.baa.tɔ"
"on ne se sépare pas de bon coeur de son enfant","mɔ̀gɔ díyanyebaatɔ tɛ́ bɔ́  í dén ná :"
"désir","díyanyeko"
"désir","já.n.ye.ko"
"amour","díyanyeko"
"amour","já.n.ye.ko"
"un tel m'aime","né díyanyeko bɛ́  kàrisa lá"
"ami","díyanyemɔgɔ"
"ami","já.n.ye.mɔgɔ"
"ami","dí.ya.n.ye.maa"
"ami","já.n.ye.maa"
"bien-aimé","díyanyemɔgɔ"
"bien-aimé","já.n.ye.mɔgɔ"
"bien-aimé","dí.ya.n.ye.maa"
"bien-aimé","já.n.ye.maa"
"voici de la kola ! - Je n'en croque pas ! - donne-la à ton ami !","-wòro fílɛ ! - né tɛ́  wòro ɲími ! - à dí  í díyanyemaa mà"
"lambin","díyanyɛrɛlamaa"
"lambin","já.n.yɛrɛ.la.maa"
"[Context: e] amant","díyaɲɔgɔn"
"[Context: e] ami","díyaɲɔgɔn"
"prostituée","díyatɔmuso"
"prostituée","já.tɔ.muso"
"SEQ","dìyé"
"société.secrète","dó"
"groupe","dó"
"il y a beaucoup de chiens à Falajɛ","wùludo bɛ́  Fàlajɛ"
"[Context: groupe de tombes] cimetière","sɛ̀lɛdo"
"[Context: bosquet de kapokiers] nom de village","Búmudo"
"petit grenier en paille boudinée","dòdo"
"tétrodon","dódo"
"tétrodon","fùru.ba"
"tétrodon","dóodo"
"tétrodon","dòdò"
"tanner","dógi"
"pétrir","dógi"
"masser légèrement","dógidogi"
"dissimulation","dògo"
"en cachette","dògo lá"
"cacher","dògo"
"[Context: prov] un serpent qui se cache devient adulte","sà dògolen bɛ́ kɔ́gɔ"
"cachottier","dògobaa"
"[Context: mais] tout le monde a des défauts,  il y en a qui cachent les leurs","sɔ̀n bɛ́  bɛ́ɛ lá, dɔ́ tá  dògobaa bɛ́"
"[Context: se] .cacher","dògodogo"
"garder un secret entrer entre nous","ɲɔ́gɔn dògodogo"
"parler d'une affaire à qn en secret","màa dògodogo  kó dɔ́ lá"
"coin","dógodogo"
"petite baie","dógodogo"
"cachotterie","dògodogoninkuma"
"passager clandestin","dògokatɛmɛna"
"[Context: 12/05 p 3] L'Algérie a rappatrié au Mali par avion 273 clandestins","álizeri yé màliden dògokatɛmɛna 273 lásegin Màli kɔ́nɔ pánkurun fɛ̀..."
"cachotterie","dògonna"
"[Context: le résultat] ne nous cache pas","í kàna  dògonna kɛ́  án ná"
"refuge","dògotu"
"retraite","dògotu"
"bobine","dóla"
"bobine","ndóla"
"bobine","dɔ́lɛ"
"hameçon","dólen"
"hameçon","ndólen"
"ligne","dólen"
"ligne","ndólen"
"poseur de hameçons","dólendala"
"dragueur de filles","dólendala"
"ligne","dólenjuru"
"hameçon","dólenkisɛ"
"barbillon du hameçon","dólentulo"
"poinçon","dóli"
"poinçon","syɔ̀nɔ"
"étoile","dòlo"
"planète","dòlo"
"faire des cloques","dólon"
"l'eau bouillante s'est renversée sur sa main, elle a fait des cloques","jígoni bɔ̀nna  à bólo kàn, à y'á dólon"
"pan!","dóloo"
"pan!","dóo"
"il a tiré  pan!","à yé  múgu cì  dóloo !"
"devin","dóma"
"sorcier","dóma"
"guérisseur","dóma"
"divination","dómaya"
"magie","dómaya"
"sciences occultes","dómaya"
"entrer","dòn"
"pénétrer","dòn"
"il est entré dans la maison","à dònna  só kɔ́nɔ"
"il est entré au  fétiche du ""ntomo""","à dònna  ntòmo ná"
"son fils a été embauché","à dénkɛ dònna  báara lá"
"il fait noir","dìbi dònna"
"il est devenu fou","fà dònna  à lá"
"tu en as honte","ò màlo bɛ́ dòn  í lá"
"dégonfler","dòn"
"le marigot est en crue","kɔ̀ dònna"
"mettre","dòn"
"il a mis son boubou","à yé  dùlɔki dòn"
"inhumer un défunt, enterrer","sù dòn"
"tu m'as induit en erreur","í yé  né dòn  fìli lá"
"se lier d'amitié avec qn","tériya dòn  í ní  màa cɛ́"
"[Context: le conseiller] mettre qn sur la route","mɔ̀gɔ dòn síra"
"tout ce qu'ils ont convenu entre eux, on ne le sait pas","ù yé  mín ní  mín dòn  ù ní  ɲɔ́gɔn cɛ́, màa tɛ́  ò dɔ́n"
"remettre qc à qn ...","fɛ́n dòn  màa bólo"
"fabriquer","dòn"
"la femme fabrique de la bière de mil","mùso bɛ́  dɔ̀lɔ dòn"
"PRES","dòn"
"PRES","dò"
"c'est un oiseau","kɔ̀nɔ dòn"
"c'était lui","àle tùn dòn"
"chaque pays ses coutumes","jàmana bɛ́ɛ ń'á ká làada dòn"
"ils sont noirs","ù fìnman dòn"
"[Context: nombre] il y en a cent","kɛ̀mɛ dòn"
"[Context: prix] c'est six cents francs","kɛ̀mɛ ní  mùgan dòn"
"elle est partie","à táalen dòn"
"jour","dón"
"date","dón"
"fixer un jour, une date","dón dá"
"[Context: certain] un  jour","dón dɔ́"
"chaque jour don si","dón ó dón"
"et...?","dón"
"et...?","dún"
"[Context: sous-entendu : elle va bien ?] tu vas bien ? ... et la famille ?","í ká kɛ́nɛ....sómɔgɔ dón ?"
"- s'il vient, je ferai ceci","- ń'á nàna, ń bɛ́  nìn kɛ́"
"[Context: sous-entendu : que feras-tu ?] et s'il ne vient pas ?","- ní  à má nà dón ?"
"jour de fête","dónba"
"non initié","dònbali"
"entrée","dònda"
"profit","dòndala"
"réussite","dòndala"
"un paresseux comme toi aura bien du mal à réussir","í sàlabaatɔ dòndala mán dí :"
"enfant qui a réussi","dòndaladen"
"valorisation","dòndalali"
"qui réussit","dòndalama"
"soutenir","dòndo"
"petite guêpe","dòndòlí"
"nielle","dóndoli"
"vêtement","dònfɛn"
"cheval","dònfɛn"
"monture","dònfɛn"
"vêtement","dònfini"
"vêtement","dònfinin"
"charge","dòni"
"fardeau","dòni"
"prendre une charge, les bagages","dòni tà"
"déposer le fardeau, les bagages","dòni jìgin"
"il n'est pas capable de porter ce fardeau","à tɛ́ sé  dòni kɔ́rɔ"
"[Context: prov] une charge trop lourde ne connaît pas le seuil de la maison","dòni bìlelen tɛ́  sóda dɔ́n"
"tâche","dòni"
"confier une tâche à qn","dòni dá  màa kùn"
"charger","dòni"
"ils l'ont chargé du sac","ù y'á dòni  bɔ̀rɔ lá"
"puisque vous vous êtes donné la peine de venir jusqu'ici ...","ń'á yé  á sògo dòni  ká sé yàn"
"camion de transport","dònibatamobili"
"bagages","dònifɛn"
"transport","dònifɛn"
"transport","dònita"
"bête de somme","dònitabagan"
"porteur","dònitala"
"porte-bagages","dònitalan"
"avenir lointain","dónjan"
"passé.éloigné","dónjan"
"calendrier","dónjatelan"
"calendrier","dón.jati.lan"
"montre","dónjatelan"
"montre","dón.jati.lan"
"agitation","dòn-kà-bɔ́"
"va-et-vient","dòn-kà-bɔ́"
"soldes","dòn-kà-fílɛ"
"entrée libre","dòn-kà-fílɛ"
"mot de passe","dònkan"
"mot d'ordre d'attaque","dònkan"
"[Context: 2 Mc 13, 15] il donna comme mot d'ordre à ses soldats : Victoire de Dieu","à yé kɛ̀lɛ dònkan fɔ́ à ká mɔ̀gɔ yé, kó: "" Ála yé sétigi yé!"
"devin","dónkibarobɔla"
"quotidien","dónkibarobɔla"
"[Context: ce] jour_","dónkò"
"[Context: ce] jour_","dónwò"
"l'autre jour","ò dónko"
"avant-hier","dónkò"
"avant-hier","dónwò"
"motif d'entrer","dònkun"
"motif de mettre un habit","dònkun"
"octave","dónkunbɛn"
"octave","kùnɲɔgɔn"
"qc s'est passé, il y a huit jours","kó dɔ́ kɛ́ra, à dónkunbɛn yé  bì yé"
"jour de répétition","dónmafila"
"jour de répétition","dón.ma.fla"
"attente de tel jour","dónmakɔnɔ"
"passe-temps","dónnatɛmɛ"
"commission","dònnbolo"
"récompense","dònnbolo"
"une récompense de 5 000 fr. a été promise à qui rapporterait l'objet perdu","dónnbolo wáa kélen láyidu tàra  mɔ̀gɔ yé, mín bɛ́ nà ní fɛ́n túnunen yé"
"poison violent","dònnkɔnɔ"
"maladie subite","dònńkùnnabàna"
"coq","dòno"
"coq","dònon"
"coq","dòndon"
"le coq a chanté","dòno kàsira"
"poulet","dònobugun"
"coq adulte","dònokɔrɔ"
"plante Gloriosa superba","dònotùlu"
"plante Gloriosa simplex","dònotùlu"
"jeune poulet","dònowalan"
"échéance inévitable","dónse"
"chasseur","dònso"
"fils de chasseur","dònsoden"
"apprenti chasseur","dònsoden"
"musique des chasseurs","dònsofɔli"
"griot des chasseurs","dònsojeli"
"griot des chasseurs","dònsongɔnifɔla"
"chasseur","dònsokɛ"
"harpe-luth des chasseurs","dònsonkɔni"
"association des chasseurs","dònsotɔn"
"chasse","dònsoya"
"poule du sacrifice","dònsyɛ"
"provisoire","dóntɛmɛ"
"provisoire","dónnatɛmɛ"
"tabac","dóoli"
"s'affaisser","dóolo"
"ployer sous un fardeau","dóolo"
"marécage","dóra"
"détremper","dóra"
"être éreinté","dóra"
"adipeux","dóradoradora"
"bourses","dóro"
"bourses","kíli"
"bourses","kàya"
"bourses","bɛ̀lɛ"
"mettre trop de","dóro"
"bourses","dórobara"
"rouge et mou","dórodoro"
"mot composé","dórogolen"
"testicule","dórokili"
"serrer","dóroko"
"serrer","dórogo"
"serrer","dóroga"
"mêler","dóroko"
"mêler","dórogo"
"mêler","dóroga"
"un chef ne doit pas se mêler à la foule","ɲɛ́mɔgɔ mán kán  kà kɛ́  mɔ̀gɔ dórokolen yé  jàma ná"
"gros chien mâle","dóso"
"s'escrimer","dòsokodosoko"
"faire des efforts","dòsokodosoko"
"gros chien","dósokɔrɔ"
"détonation","dóyi"
"certain","dɔ́"
"parfois, quelquefois","tùma dɔ́ lá"
"il y en a qui ne savent pas nager","dɔ́ bɛ́, ù tɛ́  jí dɔ́n"
"peu de","dɔ́"
"baisser le prix","dɔ́ bɔ́  sɔ̀ngɔ lá"
"[Context: expres] donne la raison de ta venue","dɔ́ dí"
"certain","dɔ́"
"l'autre de deux","dɔ́"
"partons de l'autre côté de la rivière","án kà táa  bá fàn dɔ́ fɛ̀"
"l'une a eu un enfant, l'autre non","dɔ́ yé  dén wólo, dɔ́ má  dén wólo"
"signe de la soustraction","dɔ́bɔlan"
"soustraction","dɔ́bɔli"
"suivre","dɔ̀dɔ"
"suivre","jɔ̀jɔ"
"épier","dɔ̀dɔ"
"épier","jɔ̀jɔ"
"espionnage","dɔ̀dɔli"
"espionnage","jɔ̀jɔ.li"
"épier","dɔ̀dɔlima"
"épier","jɔ̀jɔ.li.ma"
"fagot","dɔ́gɔ"
"fagot","dwá"
"fagot","jwá"
"fagot","lɔ́gɔ"
"chercher du bois","dɔ́gɔ ɲíni"
"lier un fagot","dɔ́gɔ sìri"
"arbre","dɔ́gɔ"
"arbre","dwá"
"arbre","jwá"
"arbre","lɔ́gɔ"
"désir","dɔ́gɔ"
"désir","dwa"
"désir","jwa"
"tu en as envie ?","ò dɔ́gɔ b'í lá wá ?"
"marché","dɔ́gɔ"
"marché","dwá"
"marché","jwá"
"aller au marché, faire le marché","dɔ́gɔ jɔ̀"
"semaine","dɔ́gɔ"
"semaine","dwá"
"semaine","jwá"
"je vais chez lui la semaine prochaine","né bɛ́ táa  à bára  dɔ́gɔ nàta"
"date","dɔ́gɔ"
"date","dwá"
"date","jwá"
"fixer une date","dɔ́gɔ dá"
"étroit","dɔ́gɔ"
"étroit","dwá"
"étroit","jwá"
"[Context: trop] c'est  étroit","à ká dɔ́gɔ"
"rare","dɔ́gɔ"
"rare","dwá"
"rare","jwá"
"pas assez","dɔ́gɔ"
"pas assez","dwá"
"pas assez","jwá"
"[Context: trop] c'est  peu, c'est rare","à ká dɔ́gɔ"
"cadet","dɔ́gɔ"
"cadet","dwá"
"cadet","jwá"
"cadette","dɔ́gɔ"
"cadette","dwá"
"cadette","jwá"
"que ses cadets soient plus nombreux que ses aînés ! (souhait à","k'à dɔ́gɔ cáya  à kɔ̀rɔ yé"
"piocher","dɔ́gɔ"
"bêcher","dɔ́gɔ"
"fixer date","dɔ́gɔda"
"prévoir","dɔ́gɔda"
"chaland","dɔ́gɔden"
"chaland","dɔ́gɔjɔla"
"chaland","dwá.den"
"chaland","jwá.den"
"doucement","dɔ́gɔdɔgɔnin"
"doucement","dɔndɔɔnin"
"village où.il y a un marché.régulier","dɔ́gɔdugu"
"semaine","dɔ́gɔfurancɛ"
"frère cadet","dɔ́gɔkɛ"
"frère cadet","dwákɛ"
"frère cadet","jwákɛ"
"demi-frère plus jeune","dɔ́gɔkɛ"
"demi-frère plus jeune","dwákɛ"
"demi-frère plus jeune","jwákɛ"
"semaine","dɔ́gɔkun"
"semaine","dwá.kun"
"semaine","jwá.kun"
"la semaine passée","dɔ́gɔkun tɛ̀mɛnen"
"petit","dɔ́gɔman"
"étroit","dɔ́gɔman"
"quelques","dɔ́gɔman"
"humiliation","dɔ́gɔmaya"
"cadette","dɔ́gɔmuso"
"cadette","dwá.muso"
"cadette","jwá.muso"
"demi-soeur plus jeune","dɔ́gɔmuso"
"demi-soeur plus jeune","dwá.muso"
"demi-soeur plus jeune","jwá.muso"
"cadet","dɔ́gɔnin"
"cadet","dwá.nin"
"cadet","jwá.nin"
"cadette","dɔ́gɔnin"
"cadette","dwá.nin"
"cadette","jwá.nin"
"Dogon","Dɔ̀gɔnɔ"
"ramasseuse du fagot","dɔ́gɔɲinina"
"ramasseuse du fagot","dwá.ɲini.na"
"ramasseuse du fagot","jwá.ɲini.na"
"fagot","dɔ́gɔsiri"
"fagot","dwá.siri"
"fagot","jwá.siri"
"le fagot est trop lourd pour elle","dɔ́gɔsiri bònyana  à mà"
"tas de bois","dɔ́gɔton"
"bûcher","dɔ́gɔton"
"petitesse","dɔ́gɔya"
"petitesse","dwá.ya"
"petitesse","jwá.ya"
"étroitesse","dɔ́gɔya"
"étroitesse","dwá.ya"
"étroitesse","jwá.ya"
"diminution","dɔ́gɔya"
"diminution","dwá.ya"
"diminution","jwá.ya"
"pénurie","dɔ́gɔya"
"pénurie","dwá.ya"
"pénurie","jwá.ya"
"humiliation","dɔ́gɔya"
"humiliation","dwá.ya"
"humiliation","jwá.ya"
"amoindrir","dɔ́gɔya"
"amoindrir","dwá.ya"
"amoindrir","jwá.ya"
"la licence diminue les forces","díyanyeko bɛ́  màa bárika dɔ́gɔya"
"rendre plus rare","dɔ́gɔya"
"rendre plus rare","dwá.ya"
"rendre plus rare","jwá.ya"
"humilier","dɔ́gɔya"
"humilier","dwá.ya"
"humilier","jwá.ya"
"au moins","dɔ́gɔyalenba"
"offence","dɔ́gɔyama"
"offence","dwá.ya.ma"
"offence","jwá.ya.ma"
"manière d'agir humiliante","dɔ́gɔyama"
"manière d'agir humiliante","dwá.ya.ma"
"manière d'agir humiliante","jwá.ya.ma"
"si tu entends dire ""petit papa"", certains pensent que c'est une manière de dire humiliante, non, ce n'en est pas une","ń'í yé  ""bàancinin"" mɛ́n, dɔ́ b'á míiri kó : dɔ́gɔyama dòn, dɔ́gɔyama tɛ́ :"
"longueur","dɔ̀jan"
"longueur","jɔ̀.jan"
"inactif","dɔ́kɛbali"
"inactif","fɛ́nkɛbali"
"paresseux","dɔ́kɛbali"
"paresseux","fɛ́nkɛbali"
"personne active","dɔ́kɛla"
"travailleur","dɔ́kɛla"
"[Context: kb 3/05 p 6] chaque matin les gens actifs sortent de leurs maisons pour chercher la nourriture de la famille","dùgu jɛ́ ó jɛ́, dɔ́kɛla dè bɛ́ bɔ́ dú kɔ́nɔ kà táa dú dáhirimɛ ɲíni"
"infirmier","dɔ̀kɔtɔrɔ"
"infirmier","dɔ̀gɔtɔrɔ"
"docteur","dɔ̀kɔtɔrɔ"
"docteur","dɔ̀gɔtɔrɔ"
"médicament","dɔ̀kɔtɔrɔfura"
"médicament","dɔ̀gɔtɔrɔ.fura"
"ambulance","dɔ̀kɔtɔrɔmobili"
"ambulance","dɔ́gɔtɔrɔ.mobili"
"doctoresse","dɔ̀kɔtɔrɔmuso"
"doctoresse","dɔ̀gɔtɔrɔ.muso"
"hôpital","dɔ̀kɔtɔrɔso"
"hôpital","dɔ̀gɔtɔrɔ.so"
"centre de soins","dɔ̀kɔtɔrɔso"
"centre de soins","dɔ̀gɔtɔrɔ.so"
"médecine","dɔ̀kɔtɔrɔya"
"médecine","dɔ̀gɔtɔrɔ.ya"
"bière de mil","dɔ̀lɔ"
"bière de mil","dlɔ̀"
"boisson alcoolisée","dɔ̀lɔ"
"boisson alcoolisée","dlɔ̀"
"il est saoûl","dɔ̀lɔ y'á mìnɛ"
"lie de la bière de mil","dɔ̀lɔbo"
"lie de la bière de mil","bìri"
"lie de la bière de mil","dlɔ̀.bo"
"fabricante de bière","dɔ̀lɔdonna"
"fabricante de bière","dɔ̀lɔkasila"
"fabricante de bière","dlɔ̀.don.na"
"bière de mil","dɔ̀lɔgɛrɛn"
"bière de mil","dlɔ̀.gɛrɛn"
"bière de mil","dɔ̀lɔ.gwɛrɛn"
"bière de mil","dlɔ̀.gwɛrɛn"
"corde imprégnée de levure de bière","dɔ̀lɔjuru"
"corde imprégnée de levure de bière","dlɔ̀.juru"
"buveur invétéré","dɔ̀lɔjuru"
"buveur invétéré","dlɔ̀.juru"
"fabricante de bière","dɔ̀lɔkasila"
"fabricante de bière","dɔ̀lɔdonna"
"fabricante de bière","dlɔ̀.kasi.la"
"consommation d'alcool","dɔ̀lɔmin"
"consommation d'alcool","dlɔ̀.min"
"alcoolisme","dɔ̀lɔmin"
"alcoolisme","dlɔ̀.min"
"ivrogne","dɔ̀lɔminna"
"ivrogne","dlɔ̀.min.na"
"buveur de bière","dɔ̀lɔminna"
"buveur de bière","dlɔ̀.min.na"
"bière de mil","dɔ̀lɔmɔɔni"
"bière de mil","dlɔ̀.mɔɔni"
"tenancier de cabaret","dɔ̀lɔtigɛla"
"fabriquant d'alcool","dɔ̀lɔtigɛla"
"ivre","dɔ̀lɔtɔ"
"alcoolisme","dɔ̀lɔtɔya"
"alcoolisme","dlɔ̀.tɔ.ya"
"danser","dɔ̀n"
"faire danser","dɔ̀n"
"la maman fait danser son bébé","bá bɛ́  dényɛrɛnin dɔ̀n"
"piétiner","dɔ̀n"
"nager","jí dɔ̀n"
"danser","dɔ̀n"
"tu ne danses pas ?","í t'í dɔ̀n ?"
"faire des battements","dɔ̀n"
"la fontanelle de l'enfant bat","dén ŋúna bɛ́ dɔ̀n"
"danse","dɔ̀n"
"danser","dɔ̀n kɛ́"
"gui","dɔ́n"
"gui","ládɔn"
"connaissance","dɔ́n"
"il est difficile de le savoir","à dɔ́n ká gó"
"connaître","dɔ́n"
"il a l'âge de raison, il a de l'expérience","à bɛ́  kó dɔ́n"
"il sait nager","à bɛ́  jí dɔ́n"
"bien se connaître, être maître de soi","í yɛ̀rɛ dɔ́n"
"reconnaître","dɔ́n"
"je l'ai reconnu à sa voix","ń y'á dɔ́n  à kán fɛ̀"
"je ne l'ai pas reconnu","ń m'á dɔ́n  à yé"
"comprendre","dɔ́n"
"il n'a pas compris la signification de ces paroles","à má  kúma nìnnu kɔ́rɔ dɔ́n"
"connaître","dɔ́n"
"elle n'a pas connu d'autre homme","à má  cɛ̀ wɛ́rɛ dɔ́n"
"savoir","dɔ́n"
"sache bien ceci ...","dɔ́n  nìn ná..."
"moi-même sais très bien que ...","né yɛ̀rɛ dɔ́n'ń bɛ́..."
"Rabi-al-awwal","dɔ̀nba"
"qui connaît","dɔ́nbaa"
"qui connaît","dɔ́n.baga"
"personne connue","dɔ́nbaa"
"personne connue","dɔ́n.baga"
"connaissance","dɔ́nbaa"
"connaissance","dɔ́n.baga"
"ignorance","dɔ́nbaliya"
"Safar","dɔ̀nbamakɔnɔ"
"issue","dɔ̀ndɔrɔnin"
"orientation","dɔ́ndugu"
"désir","dɔ̀ngɔ"
"désir","dɔ̀gɔn"
"désir","dùngɔ"
"désir","dɔ̀ngɔn"
"volonté","dɔ̀ngɔ"
"volonté","dɔ̀gɔn"
"volonté","dùngɔ"
"volonté","dɔ̀ngɔn"
"Dieu lui a manifesté sa volonté, je veux dire : la mort","Ála y'á dɔ̀ngɔ dòn  à lá, ń'ó yé  sàya yé"
"désirable","dɔ̀ngɔna"
"que veux-tu ? que préfères-tu ?","í dɔ̀ngɔna yé  jùmɛ yé ?"
"c'est la femme que j'ai choisie","nìn kɛ́ra  né dɔ̀ngɔnamuso yé"
"petit tambour de griot","dɔ̀nka"
"petit tambour de griot","dɔ̀nkan"
"danseur","dɔ̀nkɛla"
"chant","dɔ̀nkili"
"chanter","dɔ̀nkili dá"
"chanteuse","dɔ̀nkilidala"
"chanteur","dɔ̀nkilidala"
"science","dɔ́nko"
"grand savoir","dɔ́nko"
"acacia verek","dɔ̀nkɔri"
"acacia verek","nsòfaraŋɔni"
"acacia verek","dònkari"
"acacia verek","dòngari"
"acacia verek","dɔ̀ngari"
"acacia verek","dɔ̀nkari"
"connaissance","dɔ́nmɔgɔ"
"connaissance","dɔ́nbaa"
"ami","dɔ́nmɔgɔ"
"ami","dɔ́nbaa"
"science","dɔ́nni"
"savoir","dɔ́nni"
"s'il se trouve que tu sois plus savant que nous ...","ń'á y'á sɔ̀rɔ : dɔ́nni b'í rɔ́ kà tɛ́mɛ  án kàn..."
"savant","dɔ́nnibaa"
"savant","dɔ́nnikɛla"
"savant","dɔ́nnikɛbaa"
"savant","dɔ́n.ni.baga"
"[Context: kb 1/06 p 2] beaucoup de savants et de représentants sont venus des pays pauvres et riches","dɔ́nnibaa ní cíden cáman bɔ́ra fàantanjamana ní sétigijamana ná..."
"savant","dɔ́nnikɛla"
"devin","dɔ́nnikɛla"
"science","dɔ́nniya"
"instruction","dɔ́nniya"
"prêt","dɔ́nɔ"
"emprunt","dɔ́nɔ"
"prêter","dɔ́nɔ"
"prêter de l'argent à qn","wári dɔ́nɔ  mɔ̀gɔ mà"
"un tel m'a prêté du mil","né dɔ́nɔna  ɲɔ̀ ná  kàrisa fɛ̀"
"emprunter","dɔ́nɔ"
"je suis venu t'emprunter de l'argent","né nàna  wári  dɔ́nɔ  í fɛ̀"
"rythme de danse","dɔ̀nsen"
"pas de danse","dɔ̀nsen"
"connaissance","dɔ́nta"
"[Context: de protection] [Context: ce qu'il faut connaître] [Context: de chasse] le maître  te fait part de ce qu'il connaît  en ce qui concerne les pratiques magiques","kàramɔgɔ bɛ́  à dɔ́nta fɔ́  í yé  fúra lá"
"chose à.connaître","dɔ́nta"
"un peu","dɔ́ɔnin"
"il s'en faut d'un tout petit peu","dɔ́ɔnin b'á jɛ̀"
"apporte un peu d'eau","nà ní  jí dɔ́ɔnin yé"
"doucement","dɔ́ɔnin-dɔ́ɔnin"
"peu à peu","dɔ́ɔnin-dɔ́ɔnin"
"gaule","dɔ̀ɔntin"
"drogue","dɔ́rɔgu"
"drogue","drɔ́gu"
"drogué","dɔ́rɔgutala"
"drogué","drɔ́gu.ta.la"
"cinq francs CFA","dɔ́rɔmɛ"
"cinq francs CFA","dálasi"
"seulement","dɔ́rɔn"
"seulement","dàma mìsi dɔ́rɔn bɛ́ yèn"
"dès que","dɔ́rɔn"
"dès que","dàma mìsi dɔ́rɔn bɛ́ yèn"
"dès que tombe la nuit, je ne vois plus rien","sú kòra dɔ́rɔn, ń ɲɛ́ tɛ́  fóyi yé"
"largeur","dɔ̀surun"
"autre","dɔ́wɛrɛ"
"doucement","dɔ́yi"
"tranquillement","dɔ́yi"
"courber","dù"
"courber","dùn"
"être feint","dù"
"être feint","dùn"
"épaissir","dù"
"épaissir","dùn"
"maison","dú"
"maisonnée","dú"
"bénédiction","dùba"
"bénédiction","dùbabu"
"bénédiction","dùgawu"
"bénédiction","dùwa"
"bénédiction","dùga"
"bénédiction","dùfa"
"bénédiction","dùbaa"
"bénir qn, faire des bénédictions","dùba tà"
"bénir","dùba"
"bénir","dùga"
"bénir","dùfa"
"bénir qc","dùba...kán"
"faire des bénédictions à","dùba...yé"
"que Dieu t'accorde ses bénédictions bénir qc ... kàn","Ála kà dùba  í yé !"
"bénédiction","dùbabu"
"bénédiction","dùba"
"bénédiction","dùga"
"bénédiction","dùfa"
"bénédiction","dùgawu"
"souhait","dùbabu"
"souhait","dùba"
"souhait","dùga"
"souhait","dùfa"
"souhait","dùgawu"
"que Dieu accueille favorablement tes souhaits","Ála k'í ká dùbabu mìnɛ !"
"bénir","dùbabu"
"bénir qc","dùbabu...kàn"
"le prêtre a béni le pain","mɔ̀npɛri dùbabura  búru kàn"
"bénir qn","dùbabu...yé"
"béni","dùbabuma"
"le mariage est un état de vie ""béni""","fúru yé  fɛ́n dùbabuma yé"
"enfant béni","dùbaden"
"enfant béni","dùga.den"
"ancienne pièce de deux francs","dúbalen"
"figuier-palabres","dúbalen"
"figuier-palabres","dúfalen"
"figuier-palabres","ndúbalen"
"""dudàdu""","dúdàdú"
"[Context: prov] tu connais le ""du"" mais tu ne connais pas le ""dudàdu""  = tu ne connais pas tout","í bɛ́  dú dɔ́n, í tɛ́  dúdadu dɔ́n"
"membre de famille","dúden"
"poche","dúfa"
"divination","dúfa"
"divination","duba"
"[Context: traditionnelle] suite au décès, on a fait la divination","sù kɔ́ dúfa kɛ́ra"
"éteindre","dúfa"
"éteindre","dúga"
"éteindre","dúgan"
"on a éteint le feu avec de l'eau","tásuma dúfara ní  jí yé"
"devin","dúfakɛla"
"ils vont chez les devins","ù bɛ́ dòn  dúfakɛla kàn"
"consultant","dúfakɛla"
"le devin dit :"" s'il vient un consultant ...""","fílɛlikɛla kó : ní  dúfakɛla nàna..."
"percnoptère brun","dùfamasa"
"percnoptère brun","dùfa-màsakɔrɔ"
"grand calao d'Abyssinie","dùfon"
"grand calao d'Abyssinie","dìgon"
"vautour","dùga"
"vautour","dùfa-màsakɔrɔ"
"vautour","dùfa"
